"package_name","version","source","date_added_to_list","skip","recent_publish_track","recent_commit","cran_check","warnings","errors","vignette_error","imports","suggests","comments","mention","core"
"ctmcmove","1.2.9","cran","2020-01-01",FALSE,"2018-04-20",NA,TRUE,NA,NA,NA,"raster, Matrix, fda, gdistance, sp","mgcv, dismo, crawl","",0,FALSE
"ctmm","1.1.0","cran","2020-01-01",FALSE,"2022-11-04",NA,TRUE,NA,NA,NA,"Bessel, data.table, digest, expm, fasttime, Gmedian, graphics, grDevices, gsl, manipulate, MASS, methods, numDeriv, pbivnorm, pracma, raster, rgdal, shape, sp, statmod, stats, utils","animation, bit64, dplyr, fftw, knitr, move, parallel, parsedate, quadprog, rmarkdown, sf, suncalc","",1,FALSE
"diveMove","1.6.1","cran","2020-01-01",FALSE,"2022-11-10",NA,TRUE,NA,NA,NA,"methods, stats4, geosphere, KernSmooth, plotly, quantreg, uniReg","knitr, lattice, pander, rmarkdown, tinytest","",0,FALSE
"eyelinker","0.2.1","cran","2022-09-13",FALSE,"2021-06-03",NA,TRUE,NA,NA,NA,"stringi, stringr, tibble, readr, intervals","testthat, knitr, rmarkdown, dplyr, ggplot2, tidyr, covr","",0,FALSE
"gazepath","1.3","cran","2022-09-13",FALSE,"2020-02-09",NA,TRUE,NA,NA,NA,"sp, jpeg, zoo, scales, shiny","","",0,FALSE
"gtfs2gps","2.1-1","cran","2020-07-19",FALSE,"2023-04-28",NA,TRUE,NA,NA,NA,"data.table, furrr, future, gtfstools, Rcpp, units, sf, terra, sfheaders, progressr, lwgeom, checkmate, Rcpp","magrittr, rmarkdown, markdown, knitr, testthat, dplyr, bit64","",0,FALSE
"m2b","1.0","cran","2020-01-01",FALSE,"2017-05-03",NA,TRUE,NA,NA,NA,"geosphere, caTools, ggplot2, randomForest, e1071, caret, methods, graphics, stats, utils","adehabitatLT, moveHMM, knitr, DiagrammeR, rmarkdown","",0,FALSE
"marcher","0.0-2","cran","2020-01-01",FALSE,"2017-04-12",NA,TRUE,NA,NA,NA,"stats, Matrix, graphics, grDevices, plyr, mvtnorm, RColorBrewer, minpack.lm, zoo, numDeriv, magrittr, scales","knitr, rmarkdown, lubridate","",0,FALSE
"migflow","0.1.0","github","2023-03-07",FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,"fields, igraph, grDevices, maptools, sp, stats","","",0,FALSE
"momentuHMM","1.5.5","cran","2020-01-01",FALSE,"2022-10-18",NA,TRUE,NA,NA,NA,"mvtnorm, sp, MASS, Brobdingnag, doRNG, rlang, raster, Rcpp, RcppArmadillo","testthat, setRNG, splines, splines2 , geosphere, mitools, doFuture, future, car, survival, prodlim, nleqslv, qdapRegex","",0,FALSE
"mousetrap","3.2.1","cran","2022-09-13",FALSE,"2022-01-03",NA,TRUE,NA,NA,NA,"diptest, RColorBrewer, cstab, fastcluster, parallel, fields, rlang, lifecycle, Rcpp","readbulk, testthat","",0,FALSE
"move","4.1.12","cran","2020-01-01",FALSE,"2023-01-20",NA,TRUE,NA,NA,NA,"geosphere, httr, memoise, xml2, Rcpp, Rcpp","adehabitatHR, adehabitatLT, markdown, rmarkdown, circular, ggmap, mapproj, maptools, testthat, knitr, ggplot2, leaflet, lubridate, ctmm, amt, bcpa, EMbC","",7,TRUE
"moveHMM","1.9","cran","2020-01-01",FALSE,"2023-05-08",NA,TRUE,NA,NA,NA,"CircStats, Rcpp, boot, MASS, sp, geosphere, ggplot2, ggmap, numDeriv, Rcpp, RcppArmadillo","testthat, knitr","",3,TRUE
"moveVis","0.10.5","cran","2020-01-01",FALSE,"2020-03-28",NA,TRUE,NA,NA,NA,"move, raster, sf, lwgeom, slippymath, lubridate, curl, ggplot2, cowplot, magick, gifski, av, pbapply, magrittr, methods, stats","parallel, mapview, leaflet, testthat","",0,FALSE
"moveWindSpeed","0.2.3","cran","2020-01-01",FALSE,"2019-03-20",NA,TRUE,NA,NA,NA,"methods, move, Rcpp, Rcpp","testthat, knitr, rmarkdown","",0,FALSE
"nparACT","0.8","cran","2020-01-01",FALSE,"2017-12-20",NA,TRUE,NA,NA,NA,"ggplot2, grid, stringr, zoo, tools","","",0,FALSE
"pawacc","1.2.2","cran","2020-01-01",FALSE,"2017-02-20",NA,TRUE,NA,NA,NA,"stats, utils, graphics, SparseM","","",0,FALSE
"recurse","1.1.2","cran","2020-01-01",FALSE,"2019-12-04",NA,TRUE,NA,NA,NA,"Rcpp, Rcpp","testthat, circular, prevR, scales, fields, methods, move, knitr, rmarkdown, sp, rgeos","",0,FALSE
"rerddapXtracto","1.1.4","cran","2020-07-01",FALSE,"2022-12-13",NA,TRUE,NA,NA,NA,"sf, sp, stats, utils","cmocean, gganimate, knitr, mapdata, maptools, rgdal, rmarkdown","",0,FALSE
"segclust2d","0.3.0","cran","2020-01-01",FALSE,"2021-10-11",NA,TRUE,NA,NA,NA,"magrittr, Rcpp, zoo, grDevices, graphics, stats, utils, scales, rlang, methods, cli, Rcpp, RcppArmadillo","knitr, rmarkdown, testthat, dygraphs , htmltools, move, devtools, spelling","",0,FALSE
"sftrack","0.5.4","cran","2021-02-07",FALSE,"2023-03-16",NA,TRUE,NA,NA,NA,"sf","testthat , utils, ggplot2, adehabitatLT, knitr, geosphere, scales, covr, rmarkdown, lwgeom","",0,FALSE
"smam","0.6.0","cran","2020-01-01",FALSE,"2021-07-11",NA,TRUE,NA,NA,NA,"nloptr, Matrix, stats, Rcpp, RcppParallel, doParallel, foreach, parallel, doSNOW, methods, numDeriv, EnvStats, Rcpp, RcppGSL, RcppParallel","R.rsp","",0,FALSE
"spatsoc","0.1.16","cran","2019-11-08",FALSE,"2021-02-24",NA,TRUE,NA,NA,NA,"sp, rgeos, adehabitatHR, igraph, methods","testthat , knitr, rmarkdown, asnipe, markdown","added after the facts (was present in the CTV but not listed here)",0,FALSE
"track2KBA","1.0.5","cran","2023-03-07",FALSE,"2023-02-13",NA,TRUE,NA,NA,NA,"tidyr","adehabitatLT, doParallel, knitr, parallel, rmarkdown, tinytest","",0,FALSE
"trackdem","0.6","cran","2020-01-01",FALSE,"2021-09-24",NA,TRUE,NA,NA,NA,"png, neuralnet, raster, Rcpp, MASS, grDevices, graphics, stats, shiny, Rcpp, RcppArmadillo","knitr, rmarkdown, testthat","",0,FALSE
"trackeR","1.5.2","cran","2020-01-01",FALSE,"2019-05-15",NA,TRUE,NA,NA,NA,"zoo, ggplot2, ggridges, xml2, RSQLite, jsonlite, raster, scam, foreach, fda, sp, leaflet, ggmap, gridExtra, gtable","testthat, knitr, rmarkdown, covr","",0,FALSE
"trajectories","0.2-7","cran","2020-01-01",FALSE,"2023-04-05",NA,TRUE,NA,NA,NA,"zoo","OpenStreetMap, RCurl, rjson, adehabitatLT, xts, knitr, rgl, forecast, MASS, spatstat , spatstat.explore, spatstat.geom, taxidata, sf","",1,FALSE
"trajr","1.4.0","cran","2020-01-01",FALSE,"2020-12-17",NA,TRUE,NA,NA,NA,"signal, utils, stats, graphics, plotrix, grDevices","knitr, rmarkdown, testthat, BH, readr, tcltk, sp, MASS","",0,FALSE
"trip","1.8.7","cran","2020-01-01",FALSE,"2022-12-14",NA,TRUE,NA,NA,NA,"crsmeta, dplyr, rlang","adehabitatLT, knitr, testthat, covr, rmarkdown, lubridate, maps, spelling, lattice","",0,FALSE
"tripEstimation","0.0-46","cran","2020-01-01",FALSE,"2023-04-21",NA,TRUE,NA,NA,NA,"lattice, mgcv, reproj, sp, zoo","","",0,FALSE
"wildlifeDI","0.5.0","cran","2020-01-01",FALSE,"2022-10-01",NA,TRUE,NA,NA,NA,"adehabitatLT, dplyr, graphics, sf, sp, stats","adehabitatHR, ggplot2, GGally, igraph, network, knitr, rgeos, rmarkdown, nlme","",0,FALSE
"BaBA","1.3","github","2023-03-07",FALSE,NA,TRUE,FALSE,FALSE,TRUE,FALSE,"rgdal, raster, sp, rgeos, adehabitatLT, sf, dplyr, tidyr","","",0,FALSE
"GeoLight",NA,"cran-archived","2020-01-01",FALSE,NA,NA,FALSE,NA,TRUE,NA,NA,NA,"",0,FALSE
"HMMoce",NA,"cran-archived","2020-01-01",FALSE,NA,NA,FALSE,NA,TRUE,NA,NA,NA,"",0,FALSE
"Rhabit","0.2.0","github","2020-07-01",FALSE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,"abind, dplyr, fields, formula.tools, ggplot2, nloptr, purrr, RandomFields, raster, rlang, sp, stats, stringr, tibble, tidyr, utils, viridis","knitr, gridExtra, testthat, rmarkdown","",0,FALSE
"SwimR",NA,"bioc-deprecated","2020-01-01",FALSE,NA,NA,FALSE,NA,TRUE,NA,NA,NA,"heatmap.plus (dependency) has been removed from CRAN (and archived) on 2021-04-03. Last version can be installed with : remotes::install_version(""heatmap.plus"", ""1.3"")",0,FALSE
"TwilightFree","0.1.1","github","2020-01-01",FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,"SGAT, maptools, polyclip, viridisLite, BAStag, mclust, lubridate, magrittr, dplyr, e1071, raster, sp","","",0,FALSE
"aniMotum","1.1.4","github","2023-05-19",FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,"tibble, ggplot2, TMB, sf, tidyr, dplyr, patchwork, CircStats, mvtnorm, tmvtnorm, raster, broom, rnaturalearth, traipse, pathroutr, rnaturalearthhires, rnaturalearthdata, rosm, ggspatial, mapproj, RcppEigen","testthat, covr, knitr, rmarkdown, rgeos, future, furrr, parallelly","Superseeds foiegras",0,FALSE
"animalTrack",NA,"cran-archived","2020-01-01",FALSE,NA,NA,FALSE,NA,TRUE,NA,NA,NA,"",0,FALSE
"argosTrack","1.2.2.1","github","2020-01-01",FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,"TMB, stats, methods, grDevices, graphics, utils, RcppEigen","knitr, rmarkdown, inline","",0,FALSE
"ctmmweb","0.2.11","github","2020-07-01",FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,"shiny, shinydashboard, shinyWidgets, DT, crayon, rmarkdown, knitr, data.table, ctmm, magrittr, purrr, parallel, memoise, ggplot2, ggrepel, scales, grid, gridExtra, lubridate, leaflet, sp, rgdal, leaflet.extras, htmlwidgets, rgeos, httr, stringr, XML, xml2, zip, bit64","","",0,FALSE
"drtracker","1.1.0","github","2020-01-01",FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,"Cairo, ggplot2, plyr, alphahull, fossil, KernSmooth, RANN, reshape2, SDMTools, testthat","","SDMTools (dependency) has been removed from CRAN (and archived) on 2020-01-12. Last version can be installed with : remotes::install_version(""SDMTools"", ""1.1-221.2"")",0,FALSE
"feedr","0.11.0","github","2020-01-01",FALSE,NA,TRUE,FALSE,FALSE,TRUE,FALSE,"dplyr, ggplot2, htmltools, leaflet, lubridate, magrittr, maptools, rlang, purrr, scales, stringr, tibble, tidyr","activity, aniDom, asnipe, Dominance, knitr, Perc, png, rmarkdown, sp, testthat","",0,FALSE
"foieGras",NA,"cran-archived","2020-01-01",FALSE,NA,NA,FALSE,NA,TRUE,NA,NA,NA,"",0,FALSE
"hab","1.20.4","github","2020-01-01",FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,"adehabitatLT, adehabitatHR, adehabitatMA","survival, tkrplot","",0,FALSE
"kftrack","0.70","github","2020-01-01",FALSE,NA,TRUE,FALSE,TRUE,TRUE,FALSE,"","","",0,FALSE
"lsmnsd","0.0.0.9000","github","2020-01-01",FALSE,NA,FALSE,FALSE,TRUE,TRUE,FALSE,"R2jags","","",0,FALSE
"migrateR","1.0.9","github","2020-01-01",FALSE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,"adehabitatLT, car","knitr","",0,FALSE
"mousetrack",NA,"cran-archived","2022-09-13",FALSE,NA,NA,FALSE,NA,TRUE,NA,NA,NA,"",0,FALSE
"moveNT","0.0.0.9000","github","2020-01-01",FALSE,NA,FALSE,FALSE,TRUE,TRUE,FALSE,"raster, sp, adehabitatLT, igraph, mclust, moveHMM, uuid","","",0,FALSE
"movement","0.4","github","2020-01-01",FALSE,NA,TRUE,FALSE,TRUE,TRUE,FALSE,"raster, rgdal, tools, sp, methods, gdistance, viridis, snowfall","testthat","",0,FALSE
"movementAnalysis","0.6","other","2020-01-01",FALSE,NA,NA,FALSE,FALSE,TRUE,FALSE,"adehabitat, adehabitatLT, sp, maptools, lmomco","OpenCL","adehabitat (dependency) has been removed from CRAN (and archived) on 2018-04-10. Last version can be installed with : remotes::install_version(""adehabitat"", ""1.8.20"")",0,FALSE
"nestR","1.1.0","github","2023-03-07",FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,"dplyr, data.table, rjags, lubridate, geosphere, shiny, shinydashboard, leaflet, kableExtra, gridExtra, purrr, forcats, rpart, rpart.plot","knitr, markdown, rmarkdown","",0,FALSE
"palmr","2.2.1","github","2023-03-07",FALSE,NA,TRUE,FALSE,FALSE,TRUE,TRUE,"changepoint, cluster, data.table, depmixS4, dplyr, dygraphs, EMbC, GeoLight, graphics, grDevices, htmltools, raster, rgl, RColorBrewer, stats, utils, viridis, xts, zoo","knitr, rmarkdown","",0,FALSE
"pathtrackr","1.2.3","github","2020-01-01",FALSE,NA,TRUE,FALSE,FALSE,TRUE,TRUE,"ggplot2, plyr, pbapply, abind, cluster, gridExtra, jpeg, imager, viridis, rgdal, EBImage, raster, terra","knitr, rmarkdown","",0,FALSE
"probGLS","0.9.7","github","2020-01-01",FALSE,NA,TRUE,FALSE,FALSE,TRUE,FALSE,"sf, SGAT, GeoLight, ncdf4, stringr, paletteer, rnaturalearth","","",0,FALSE
"rbl","0.1.30","github","2020-01-01",FALSE,NA,FALSE,FALSE,TRUE,TRUE,FALSE,"data.table, RcppRoll, signal, sqldf, fields","knitr, sp, testthat, manipulate","",0,FALSE
"rhr","1.2.907","github","2020-01-01",FALSE,NA,FALSE,FALSE,TRUE,TRUE,FALSE,"grid, maptools, raster, adehabitatHR, adehabitatLT, ggplot2, graphics, gridExtra, KernSmooth, lubridate, mixtools, mvtnorm, rgdal, rgeos, reshape2, sp, spacetime, stringr, trajectories, zoo","shiny, knitr, markdown, testthat, shinyBS, brew, xtable","",0,FALSE
"smoove","0.1.2","github","2023-03-07",FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,"Matrix, CircStats, nlme, numDeriv, crawl, magrittr, plyr, intervals, scales, gtools, methods, foreach, lubridate, move, Rcpp, RcppArmadillo","knitr, rmarkdown, adehabitatLT, gplots, doParallel, gridExtra","",0,FALSE
"stmove","0.0.9000","github","2020-07-01",FALSE,NA,FALSE,FALSE,TRUE,TRUE,FALSE,"adehabitatLT, ggplot2, ggrepel, sf, ctmm, dplyr, dplR, forcats, lubridate, move, RcppRoll, sp, TTR, tidyr, lunar, rmarkdown","tlocoh, testthat, vdiffr, imputeTS, covr, rstudioapi, miniUI, shiny, knitr, here","",0,FALSE
"telemetr","0.3","github","2020-01-01",FALSE,NA,FALSE,FALSE,TRUE,TRUE,FALSE,"lattice, sp, plyr","","",0,FALSE
"tlocoh","1.40.7","rforge","2020-01-01",FALSE,NA,NA,FALSE,FALSE,TRUE,TRUE,"sp, FNN, pbapply, rgeos","rgdal, move, png, raster, gpclib, XML","CRAN check fails because of ‘tlocoh_tutorial’ vignette (empty tex file), but regular install works (with same version)…",0,FALSE
"trackit","0.2.6","github","2020-01-01",FALSE,NA,TRUE,FALSE,TRUE,TRUE,FALSE,"MASS, date","","",0,FALSE
"ukfsst","0.3","github","2020-01-01",FALSE,NA,TRUE,FALSE,FALSE,TRUE,FALSE,"date, kftrack, ncdf4","","",0,FALSE
"vmsbase","2.2.1","github","2023-03-07",FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,"sqldf, ggmap, mapdata, maps, marmap, intervals, methods, plotrix, sp, foreign, cluster, cairoDevice, ggplot2, DBI, RSQLite, fields, gsubfn, AMORE, ecodist, gWidgets2, gWidgets2RGtk2, chron, maptools, outliers, PBSmapping, R6, grid, VennDiagram, gmt","","",0,FALSE
"vmstools","0.76","github","2020-07-01",FALSE,NA,FALSE,FALSE,TRUE,TRUE,FALSE,"cluster, data.table, doBy, maps, mapdata, maptools, PBSmapping, sp, segmented, mixtools","lattice, raster, shapefiles, tcltk","",0,FALSE
"BBMM",NA,"cran","2020-01-01",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Archived on CRAN on 2022-05-23",0,FALSE
"BayesianAnimalTracker",NA,"cran","2020-01-01",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Archived on CRAN on 2022-06-08",0,FALSE
"RNCEP",NA,"cran","2020-07-19",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Doesn't count as tracking package as tracking data is not in its main goals",0,FALSE
"VTrack",NA,"cran","2020-01-01",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"removed from CRAN (and archived) on 2021-09-13",0,FALSE
"geoviz",NA,"cran","2020-07-01",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Doesn't count as tracking package",0,FALSE
"mkde",NA,"cran","2020-01-01",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Archived on CRAN on 2022-04-25",0,FALSE
"overlap",NA,"cran","2020-07-01",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Doesn't count as tracking package as it's camera traps with no individual ID",0,FALSE
"pathroutr",NA,"github","2023-03-07",FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,"",0,FALSE
"rpostgisLT",NA,"cran","2020-01-01",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"removed from CRAN (and archived) on 2020-08-31",0,FALSE
"rsMove",NA,"cran","2020-01-01",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"removed from CRAN (and archived) on 2020-07-14",0,FALSE
"saccades",NA,"github","2022-09-13",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"On CRAN: Archived on 2022-04-10 at the request of the maintainer. ",0,FALSE
